Id,prediction
CN_T_12,தீர்ப்புகள் சமூக நலனை கருத்தில் கொண்டு வழங்கப்படுகின்றன. மரியாதை மற்றும் பொறுப்புடன் நடப்பதே நல்ல வழி.
CN_T_13,ஒப்புதல் மற்றும் மரியாதை கொண்ட உறவுகளை தவறான ஒப்பீடுகளுடன் இணைப்பது பொருத்தமல்ல. நிதானமாக சிந்திக்க வேண்டும்.
CN_T_14,வன்முறை எப்போதும் தவறு. அனைவருக்கும் பாதுகாப்பான வாழ்வு உரிமை உள்ளது.
CN_T_15,திருநங்கைகள் பற்றிய விஷயங்களில் அறிவியல் மற்றும் மனிதநேய பார்வை அவசியம். அவர்களுக்கு சம உரிமையும் வாய்ப்பும் வழங்கப்பட வேண்டும்.
CN_T_16,அடையாளத்தை கேலி செய்வது நியாயமல்ல. ஒவ்வொருவரும் மரியாதைக்கு தகுதியானவர்கள்.
CN_T_17,சட்டமும் நீதியும் மனித உரிமைகளை பாதுகாக்க இருக்கிறது. உரையாடல் மரியாதையுடன் இருக்க வேண்டும்.
CN_T_18,பாலின அடையாளம் குறித்து கேள்வி எழுப்புவது இயல்பானதே ஆனால் அவமதிப்பு தேவையில்லை. புரிதல் முக்கியம்.
CN_T_19,இழிவுபடுத்துவது தீர்வு அல்ல. மனிதநேயம் முக்கியம்.
CN_T_20,ஒவ்வொருவரின் நம்பிக்கைகள் மாறுபடலாம், ஆனால் பிறரை இழிவாக பார்க்காமல் மரியாதையுடன் நடத்துவது முக்கியம்.
CN_T_21,இழிவான சொற்கள் சமூகத்தை மேம்படுத்தாது. மரியாதையும் கருணையும் அவசியம்.
CN_T_22,ஒரு குழுவை பொதுவாக இழிவுபடுத்துவது தவறு. அனைவரும் சம உரிமை உடையவர்கள்.
CN_T_23,இயற்கையை பற்றிய கருத்துக்கள் மாறுபடலாம், ஆனால் மனிதர்களை இழிவுபடுத்துவது நியாயமல்ல.
CN_T_24,ஒருவரின் பாலின அடையாளம் குறித்து கேலி செய்யாமல் மரியாதையுடன் அணுக வேண்டும்.
CN_T_25,அடையாளத்தை சந்தேகப்படுத்துவது தேவையில்லை. ஒவ்வொருவரும் தங்கள் வாழ்க்கையை வாழ உரிமையுடையவர்கள்.
CN_T_26,அறிவியல் ஆதாரமில்லாத பயத்தை பரப்புவது தேவையில்லை. புரிதல் மற்றும் கல்வி முக்கியம்.
CN_T_27,மரியாதையுடன் பேசுவது தான் நல்ல சமுதாயத்தின் அடையாளம்.
CN_T_28,மத நம்பிக்கைகள் தனிப்பட்டவை. அவற்றை பிறரை காயப்படுத்த பயன்படுத்தக்கூடாது.
CN_T_29,அறிவியல் மற்றும் மனிதநேயம் அடிப்படையில் அணுகுவது அவசியம். இழிவுபடுத்தாமல் விவாதிக்கலாம்.
CN_T_30,ஒருவரை நாட்டிலிருந்து நீக்க வேண்டும் என்று கூறுவது தவறு. அனைவரும் சம உரிமை உடையவர்கள்.
CN_T_31,இழிவான சொற்கள் பிரச்சினையை தீர்க்காது. மரியாதை அவசியம்.
CN_T_32,நோய்களை ஒரு குழுவுடன் இணைப்பது தவறான தகவல். ஆரோக்கியம் குறித்து விழிப்புணர்வு அவசியம்.
CN_T_33,தவறான ஒப்பீடுகள் புரிதலை குறைக்கும். மரியாதை முக்கியம்.
CN_T_34,அவமதிப்பு எந்த பயனும் தராது. மனிதநேயம் அவசியம்.
CN_T_35,இழிவான வார்த்தைகள் ஏற்றுக்கொள்ள முடியாது. அனைவரும் மரியாதைக்கு தகுதியானவர்கள்.
CN_T_36,சிலரின் நடத்தை காரணமாக முழு குழுவை குறை கூற முடியாது. சம வாய்ப்புகள் வழங்கப்பட வேண்டும்.
CN_T_37,அடையாளத்தை கேலி செய்வது தேவையில்லை. மரியாதை முக்கியம்.
CN_T_38,கருத்து வேறுபாடுகள் இருக்கலாம் ஆனால் இழிவுபடுத்துவது தவறு.
CN_T_39,ஒருவரின் வாழ்க்கையை இழிவுபடுத்துவது சரியல்ல. மரியாதை அவசியம்.
CN_T_40,வன்முறையோ அவமதிப்போ தீர்வு அல்ல. கருணை மற்றும் புரிதல் தான் நல்ல மாற்றத்தை தரும்.
CN_T_41,ஆண் பெண் பற்றிய நம்பிக்கைகள் மாறுபடலாம், ஆனால் பிறரை இழிவுபடுத்தாமல் மரியாதை காட்ட வேண்டும்.
CN_T_42,உடலுறவு பற்றிய கேள்விகளை மரியாதையுடன் விவாதிக்கலாம். அவமதிப்பு தேவையில்லை.
CN_T_43,கல்லெறிதல் அல்லது வன்முறை தீர்வு அல்ல. கருணை முக்கியம்.
CN_T_44,மனிதன் சிந்திக்கும் திறன் கொண்டவன். அதனால் மரியாதையுடன் அணுக வேண்டும்.
CN_T_45,அரசு வழங்கும் வாய்ப்புகளை சரியாக பயன்படுத்துவது நல்லது. ஆனால் ஒரு குழுவை இழிவுபடுத்துவது சரியல்ல.
CN_T_46,ஒருவரின் அடையாளத்தை கேலி செய்வது தேவையில்லை.
CN_T_47,ஒரு குழுவை தொல்லை என பொதுவாக கூறுவது தவறு.
CN_T_48,இயற்கை சீற்றங்களை மனித அடையாளத்துடன் இணைப்பது ஆதாரமற்றது.
CN_T_49,மனிதர்கள் அனைவரும் சம மதிப்புடையவர்கள். பாவம் என்று குறை கூறுவது தீர்வு அல்ல.
CN_T_50,ஒரு குழுவை நாட்டின் அழிவுடன் இணைப்பது தவறான பொதுமைப்படுத்தல்.
CN_T_51,மனநலம் குறித்து தவறான குற்றச்சாட்டு விடாமல் புரிதலுடன் அணுக வேண்டும்.
CN_T_52,மக்கள்தொகை அல்லது நோய் பற்றிய பயத்தை பரப்புவது தேவையில்லை. மரியாதை அவசியம்.
CN_T_53,மரணம் அல்லது நோய் குறித்து பயமுறுத்துவது மனிதநேயமல்ல.
CN_T_54,இழிவான சொற்கள் சமூகத்தை மேம்படுத்தாது.
CN_T_55,ஒரு குழுவை அவமதிப்பது நியாயமல்ல.
CN_T_56,தனிப்பட்ட அனுபவத்தை முழு குழுவுடன் இணைக்க முடியாது.
CN_T_57,வேறுபட்ட கருத்துகள் இருந்தாலும் சம உரிமை வழங்க வேண்டும்.
CN_T_58,அவமதிப்பு தேவையில்லை. மரியாதையுடன் பேச வேண்டும்.
CN_T_59,ஒரு சிலரின் நடத்தை முழு குழுவை பிரதிநிதித்துவப்படுத்தாது.
CN_T_60,இழிவான வார்த்தைகள் மற்றும் வன்முறை அழைப்பு ஏற்றுக்கொள்ள முடியாது.
CN_T_61,தவறான குற்றச்சாட்டுகள் விடாமல் சம உரிமையை மதிக்க வேண்டும்.
CN_T_62,வாழும் உரிமை அனைவருக்கும் உள்ளது.
CN_T_63,கருத்து வேறுபாடு இருந்தாலும் மரியாதை அவசியம்.
CN_T_64,குடும்பத்தை இழிவுபடுத்துவது தவறு. மரியாதை அவசியம்.
CN_T_65,அவமதிப்பு எந்த பயனும் தராது.
CN_T_66,ஒருவரின் மதிப்பை குறைத்து பேசுவது மனிதநேயமல்ல.
CN_T_67,வெறுப்பு மற்றும் சாபம் கூறுவது சமூக நலனை மேம்படுத்தாது.
CN_T_68,மத நம்பிக்கைகள் தனிப்பட்டவை. ஆனால் பிறரை காயப்படுத்த பயன்படுத்தக்கூடாது.
CN_T_69,புரியவில்லை என்றால் கேள்வி கேட்கலாம். அவமதிப்பு தேவையில்லை.
CN_T_70,வன்முறை ஏற்றுக்கொள்ள முடியாது.
CN_T_71,குழந்தைகளை பாதுகாப்பது முக்கியம் ஆனால் ஒருவரின் அடையாளத்தை காரணமாக குறை கூற முடியாது.
CN_T_72,வன்முறை அழைப்பு தவறு. அனைவருக்கும் வாழ்வுரிமை உள்ளது.
CN_T_73,உணர்வுகளை மரியாதையுடன் புரிந்து கொள்ள வேண்டும்.
CN_T_74,ஒருவரை நாட்டில் வைக்கக் கூடாது என்று கூறுவது தவறு.
CN_T_75,பாலின அடையாளத்தை கேலி செய்யாமல் மரியாதையுடன் அணுக வேண்டும்.
CN_T_76,வன்முறை மற்றும் அவமதிப்பு தீர்வு அல்ல.
CN_T_77,இயற்கையை பற்றிய கருத்துகள் மாறுபடலாம். ஆனால் மனிதர்களை இழிவுபடுத்தக்கூடாது.
CN_T_78,இயற்கை சீற்றங்களை மனித அடையாளத்துடன் இணைப்பது ஆதாரமற்றது.
CN_T_79,ஒப்புதல் மற்றும் மரியாதை உள்ள உறவுகளை வன்முறையுடன் ஒப்பிடுவது தவறு.
CN_T_80,ஒரு சிலரின் செயலால் முழு குழுவை குறை கூற முடியாது.
CN_T_81,மத கதைகளை பயமுறுத்த பயன்படுத்தாமல் கருணையை முன்னிலைப்படுத்த வேண்டும்.
CN_T_82,கருத்து வேறுபாடு இருந்தாலும் மரியாதை அவசியம்.
CN_T_83,குற்றச்சாட்டுகளை ஆதாரமின்றி பரப்புவது தவறு.
CN_T_84,வெளியில் பேசுவது அவமானமல்ல; புரிதல் அவசியம்.
CN_T_85,இழிவான சொற்கள் சமூக நலனை மேம்படுத்தாது.
CN_T_86,தொல்லை என்று பொதுவாக கூறாமல் நிதானமாக அணுக வேண்டும்.
CN_T_87,ஆதாரமற்ற குற்றச்சாட்டு மற்றும் வன்முறை அழைப்பு தவறு.
CN_T_88,வன்முறை ஏற்றுக்கொள்ள முடியாது.
CN_T_89,நாட்டை விட்டு செல்ல சொல்வது நியாயமல்ல.
CN_T_90,ஒரு தொழில்துறையை குறை கூறுவது சரியல்ல; மனித உரிமை முக்கியம்.
CN_T_91,குடும்ப உறவுகள் மதிப்புடையவை; ஆனால் பயமுறுத்தும் ஒப்பீடுகள் தேவையில்லை. மரியாதை முக்கியம்.
CN_T_92,கருத்து வேறுபாடு இருந்தாலும் இழிவுபடுத்த வேண்டாம்.
CN_T_93,குடும்பத்தை இழிவுபடுத்துவது தவறு. மரியாதை அவசியம்.
CN_T_94,வாழ்க்கை முறைகள் மாறுபடலாம்; மரியாதை மற்றும் புரிதல் முக்கியம்.
CN_T_95,அவமதிப்பு தேவையில்லை; மனிதநேயம் அவசியம்.
CN_T_96,கலாச்சாரம் வளர்ச்சியடையும்; ஆனால் மனித மரியாதை நிலையானது.
CN_T_97,ஆதாரமற்ற குற்றச்சாட்டுகள் சமூகத்தை பாதிக்கும். பாதுகாப்பும் மரியாதையும் முக்கியம்.
CN_T_98,மத குறிப்புகளை பயமுறுத்த பயன்படுத்தாமல் கருணையை முன்னிலைப்படுத்த வேண்டும்.
CN_T_99,ஒரு குழுவை சாபம் என அழைப்பது தவறு; அனைவரும் சம உரிமை உடையவர்கள்.
CN_T_100,குழந்தைகளை பாதுகாப்பது முக்கியம்; ஆனால் அடையாளத்தை காரணமாக குறை கூற முடியாது.
CN_T_101,பகுத்தறிவு என்பது மரியாதையுடனான அணுகுமுறை.
CN_T_102,மனித இன அழிவு பற்றிய பயம் ஆதாரமற்றது; புரிதல் அவசியம்.
CN_T_103,கருத்து பரவல் குறித்து கவலை இருந்தாலும் மரியாதை அவசியம்.
CN_T_104,நீதிமன்ற தீர்ப்புகள் மனித உரிமையை கருத்தில் கொள்கின்றன; இழிவுபடுத்துவது தேவையில்லை.
CN_T_105,படைப்பின் ரகசியம் பற்றி நம்பிக்கைகள் மாறுபடலாம்; ஆனால் பிறரை இழிவுபடுத்தக்கூடாது.
CN_T_106,மனித இனம் பல்வகைமையால் வலுப்பெறும்.
CN_T_107,ஒரு குழுவை கேலி செய்வது தேவையில்லை; மரியாதை அவசியம்.
CN_T_108,ஒரு அடையாளத்தை மனித இனத்துக்கு எதிரானது என கூறுவது தவறு; அனைவரும் சம மதிப்புடையவர்கள்.
CN_T_109,வெறுப்பு இல்லாமல் சிந்தித்து பேசுவது சமூக நலனை உயர்த்தும்.
